,Visibility (km),Rel Hum (%),Hour,Stn Press (kPa),Month,Temp (°C),Dew Point Temp (°C),Wind Dir (10s deg),Wind Spd (km/h),Temp_Diff,Humidity_Index
3741,0.26556016597510373,0.43209876543209874,21,0.5344202898550741,6,0.7812971342383106,0.7901023890784984,0.9444444444444444,0.34615384615384615,-0.008805254840187793,0.33759752714001073
3742,0.33609958506224064,0.4197530864197531,22,0.5199275362318829,6,0.7571644042232276,0.7576791808873721,0.027777777777777776,0.17307692307692307,-0.0005147766641444562,0.31782209559987334
3743,0.26556016597510373,0.5432098765432098,23,0.516304347826086,6,0.7285067873303166,0.7730375426621161,0.861111111111111,0.19230769230769232,-0.04453075533179951,0.3957320820065917
3744,0.33609958506224064,0.6049382716049383,0,0.5144927536231876,6,0.7285067873303166,0.7918088737201365,0.9166666666666666,0.2884615384615385,-0.06330208638981993,0.4407016367800681
3745,0.26556016597510373,0.728395061728395,1,0.5,6,0.6968325791855202,0.7901023890784984,0.861111111111111,0.2884615384615385,-0.09326980989297817,0.5075694095301937
3746,0.13278008298755187,0.6296296296296295,2,0.49094202898550776,6,0.7209653092006032,0.7901023890784984,0.9444444444444444,0.46153846153846156,-0.06913707987789519,0.45394112060778713
3747,0.13278008298755187,0.6790123456790123,3,0.4818840579710155,6,0.7043740573152337,0.7883959044368601,0.8888888888888888,0.3076923076923077,-0.08402184712162641,0.47827868089305986
3748,0.13278008298755187,0.7530864197530864,4,0.4855072463768124,6,0.6787330316742081,0.779863481228669,0.861111111111111,0.23076923076923078,-0.10113044955446093,0.5111446287916875
3749,0.13278008298755187,0.691358024691358,5,0.4891304347826093,6,0.6953242835595775,0.7781569965870307,0.9722222222222222,0.2884615384615385,-0.08283271302745321,0.4807180232016832
3750,0.13278008298755187,0.6790123456790123,6,0.4927536231884062,6,0.6938159879336349,0.7747440273037544,0.9166666666666666,0.34615384615384615,-0.0809280393701195,0.47110962143641866
3751,0.13278008298755187,0.617283950617284,7,0.4891304347826093,6,0.6983408748114629,0.7627986348122867,0.9166666666666666,0.3653846153846154,-0.06445776000082382,0.43107461408115
3752,0.13278008298755187,0.5555555555555556,8,0.48369565217391397,6,0.7164404223227752,0.7627986348122867,0.9444444444444444,0.42307692307692313,-0.04635821248951155,0.3980224568459862
3753,0.1991701244813278,0.48148148148148145,9,0.4782608695652186,6,0.7435897435897435,0.7679180887372015,0.9722222222222222,0.3653846153846154,-0.024328345147457964,0.3580246913580246
3754,0.1991701244813278,0.39506172839506165,10,0.47463768115942173,6,0.7722473604826545,0.764505119453925,1.0,0.3269230769230769,0.007742241028729557,0.30508537698080174
3755,0.1991701244813278,0.3209876543209877,11,0.47101449275362484,6,0.7782805429864252,0.7389078498293516,0.9722222222222222,0.44230769230769235,0.03937269315707359,0.24981844589687727
3756,0.1991701244813278,0.34567901234567894,12,0.4619565217391326,6,0.788838612368024,0.7627986348122867,0.9444444444444444,0.5,0.02603997755573728,0.2726849524235144
3757,0.1991701244813278,0.3333333333333333,13,0.45289855072464036,6,0.7858220211161386,0.7525597269624574,0.9166666666666666,0.4807692307692308,0.033262294153681204,0.26194067370537955
3758,0.1991701244813278,0.2839506172839506,14,0.4438405797101481,6,0.7993966817496228,0.7440273037542663,0.9444444444444444,0.5384615384615385,0.05536937799535646,0.2269891812375472
3759,0.26556016597510373,0.34567901234567894,15,0.45289855072464036,6,0.7526395173453996,0.7235494880546076,0.1388888888888889,0.5192307692307693,0.029090029290791963,0.2601716850082862
3760,0.40248962655601656,0.617283950617284,16,0.4655797101449295,6,0.7149321266968325,0.779863481228669,0.8333333333333333,0.19230769230769232,-0.06493135453183652,0.4413161275906374
3761,0.26556016597510373,0.5925925925925926,17,0.4655797101449295,6,0.7254901960784312,0.7832764505119455,0.8055555555555555,0.2692307692307693,-0.05778625443351426,0.4299201161946259
3762,0.1991701244813278,0.6419753086419753,18,0.4601449275362306,6,0.7254901960784312,0.7986348122866895,0.8333333333333333,0.2884615384615385,-0.0731446162082583,0.46574679254417806
3763,0.1991701244813278,0.728395061728395,19,0.4583333333333357,6,0.7073906485671191,0.8037542662116042,0.8333333333333333,0.25,-0.09636361764448509,0.5152598551291361
3764,0.1991701244813278,0.7901234567901234,20,0.45652173913043725,6,0.6877828054298641,0.7986348122866895,0.8888888888888888,0.19230769230769232,-0.11085200685682539,0.5434333277470531
3765,0.26556016597510373,0.7530864197530864,21,0.4619565217391326,6,0.6938159879336349,0.795221843003413,0.8333333333333333,0.17307692307692307,-0.10140585506977817,0.5225033983203917
3766,0.26556016597510373,0.6790123456790123,22,0.45471014492753525,6,0.6923076923076922,0.7713310580204779,0.8333333333333333,0.2884615384615385,-0.07902336571278568,0.4700854700854699
3767,0.1991701244813278,0.5308641975308641,23,0.447463768115945,6,0.6907993966817495,0.726962457337884,0.8888888888888888,0.3653846153846154,-0.036163060656134505,0.366720667374262
3768,0.06639004149377593,0.5185185185185186,0,0.4384057971014528,6,0.67420814479638,0.7047781569965871,0.9166666666666666,0.40384615384615385,-0.030570012200207053,0.34958940841293784
3769,0.06639004149377593,0.46913580246913583,1,0.43115942028985543,6,0.6711915535444947,0.6860068259385667,0.9166666666666666,0.38461538461538464,-0.014815272394071988,0.3148799880826025
3770,0.06639004149377593,0.5308641975308641,2,0.42753623188405854,6,0.6515837104072397,0.6843003412969284,0.8888888888888888,0.3076923076923077,-0.03271663088968868,0.34590246354952225
3771,0.06639004149377593,0.48148148148148145,3,0.4221014492753632,6,0.6576168929110104,0.6757679180887373,0.8888888888888888,0.34615384615384615,-0.01815102517772682,0.31663035584604204
